station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0192,2024-01-01 00:00:00,2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118lat":46.37319,"lon":5.795508},liveobjects
STATIC0192,2024-01-01 00:10:00,2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.37089,"lon":5.799602},liveobjects
STATIC0192,2024-01-01 00:20:00,1.9,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 00:30:00,1.9,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.36998,"lon":5.801296},liveobjects
STATIC0192,2024-01-01 00:50:00,1.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 01:00:00,1.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 01:10:00,1.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.36919,"lon":5.802805},liveobjects
STATIC0192,2024-01-01 01:20:00,1.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":46.368496,"lon":5.804159},liveobjects
STATIC0192,2024-01-01 01:30:00,1.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.367336,"lon":5.806487},liveobjects
STATIC0192,2024-01-01 01:40:00,1.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":46.366844,"lon":5.807495},liveobjects
STATIC0192,2024-01-01 01:50:00,1.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 02:00:00,1.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 02:10:00,1.5,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 02:20:00,1.4,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.367783,"lon":5.806182},liveobjects
STATIC0192,2024-01-01 02:30:00,1.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.368633,"lon":5.804977},liveobjects
STATIC0192,2024-01-01 02:40:00,1.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.368153,"lon":5.805925},liveobjects
STATIC0192,2024-01-01 02:50:00,1.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.367306,"lon":5.807613},liveobjects
STATIC0192,2024-01-01 03:00:00,1.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.36725,"lon":5.808061},liveobjects
STATIC0192,2024-01-01 03:10:00,1.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 03:20:00,1.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.366917,"lon":5.808734},liveobjects
STATIC0192,2024-01-01 03:30:00,1.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.367424,"lon":5.808157},liveobjects
STATIC0192,2024-01-01 03:40:00,0.8,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.367123,"lon":5.808754},liveobjects
STATIC0192,2024-01-01 03:50:00,0.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":46.36709,"lon":5.80904},liveobjects
