station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0209,2025-01-01 00:00:00,2.7,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 00:10:00,2.8,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 00:20:00,2.9,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 00:30:00,2.8,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 00:40:00,2.7,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 00:50:00,3,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 01:00:00,2.8,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 01:10:00,2.9,,,35,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 01:20:00,2.9,,,35,,,,,,,,,,,,,,,,,,,,,,{"rssi":-119,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 01:30:00,3,,,33,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 01:40:00,3,,,33,,,,,,,,,,,,,,,,,,,,,,{"rssi":-119,"lat":44.917752,"lon":4.15288,"batt":36.12},liveobjects
STATIC0209,2025-01-01 01:50:00,3.3,,,32,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 02:00:00,3.2,,,31,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 02:10:00,3.2,,,32,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 02:20:00,3.1,,,33,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 02:30:00,3.1,,,33,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
