station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,ensoleillement,temperature_sol,temps_omm,source,radiations,neige_au_sol,nebulosite,raw_msg,uv,temperature_eau
VENTOUX,2020-04-12 10:00:00,3.4,,,,,,25.9,35.3,,156,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 11:00:00,3.4,,,,,,23.8,37.1,,143,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 12:00:00,4.2,,,,,,18.3,35.6,,165,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 13:00:00,4.7,,,,,,27.7,51.5,,155,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 14:00:00,4.8,,,,,,25.2,47.2,,168,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 15:00:00,3.9,,,,,,27.7,49,,180,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 16:00:00,3.1,,,,,,22,42.8,,196,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 18:00:00,1,,,,,,45.4,50.8,,167,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 19:00:00,1.3,,,,,,51.8,59,,159,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 20:00:00,1.2,,,,,,48.2,52.6,,157,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 21:00:00,1.6,,,,,,56.2,61.2,,157,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 22:00:00,1.4,,,,,,50.8,56.5,,155,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-12 23:00:00,1.4,,,,,,51.5,58,,153,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 00:00:00,1.2,,,,,,63.4,69.5,,146,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 01:00:00,0.7,,,,,,73.1,81.4,,146,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 02:00:00,1,,,,,,75.6,83.2,,140,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 03:00:00,0.5,,,,,,79.6,90,,145,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 04:00:00,0.6,,,,,,77.8,86.8,,147,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 05:00:00,0.9,,,,,,73.1,79.2,,148,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 06:00:00,1.2,,,,,,66.6,73.4,,143,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 07:00:00,1.7,,,,,,61.9,68.8,,147,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 08:00:00,2.7,,,,,,47.9,58.7,,141,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 09:00:00,3.2,,,,,,34.9,42.8,,142,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 10:00:00,4.3,,,,,,26.3,37.4,,141,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 11:00:00,4.3,,,,,,18,26.3,,153,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 12:00:00,4.6,,,,,,21.6,32,,146,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 13:00:00,5.4,,,,,,10.8,28.1,,123,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 14:00:00,4.7,,,,,,15.8,24.5,,152,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 15:00:00,4.2,,,,,,5,11.9,,122,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 16:00:00,3.6,,,,,,18.3,24.5,,85,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 17:00:00,3.3,,,,,,18,24.8,,89,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 18:00:00,2.7,,,,,,18.3,22,,7,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 19:00:00,2.1,,,,,,19.8,23.4,,331,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 20:00:00,2.3,,,,,,24.8,27,,346,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 21:00:00,2.5,,,,,,25.2,28.4,,342,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 22:00:00,2.5,,,,,,36.4,40.7,,346,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-13 23:00:00,2.4,,,,,,34.6,36.7,,337,,,,,,,,,,,data,,,,,,
VENTOUX,2020-04-14 10:00:00,5.6,,,,,,18.3,25.2,,71,,,,,,,,,,,data,,,,,,
